"","141 VC","144 VC","149 VC","155 VC","176 VC","177 VC","180 VC","94 VC","119 VC","121 VC","142 VC","143 VC","153 VC","178 VC"
"Sar1a",268.104833521868,238.85541687279,217.567228263867,251.68362151945,251.428498779667,198.106321496997,223.906922470265,212.471382802962,207.117530566406,228.259660987103,260.267601462486,237.413066664357,265.498400031105,218.275788668676
"Aifm2",40.1566711001917,21.2933123568767,27.4821762017516,35.2827506802968,33.9297974131731,24.4970182496287,28.7448076144259,28.732784863034,35.5566576079667,41.3571511196144,31.0410900826818,19.7844222220297,22.8502721338246,46.1395976047609
"Macroh2a2",259.837283589476,194.417199780178,275.966852692589,297.551197403836,316.678109189616,276.922814995802,232.984230137978,254.814434180064,250.674436136165,287.909398178854,268.624818023208,260.688857513804,214.357314779212,315.878783601824
"Gm2137",157.083448715456,101.837580837236,121.379611557736,109.37652710892,162.689028622138,169.348952247433,125.569422736702,148.956805737308,160.00495923585,133.615411309523,140.878793452171,123.361691502068,120.780009850216,188.107590234794
"Fam241b",333.064154419237,232.374843546784,301.158847544194,245.803163072734,305.368176718558,264.141761995996,228.445576304121,289.596226382684,253.341185456763,244.16625757157,245.940944501248,273.490542480999,290.524888558627,330.075582864828
"Neurog3",3.54323568531103,1.85159237885884,2.29018135014597,2.35218337868645,6.95995844372782,4.26035099993542,7.56442305642786,0,2.6667493205975,0,2.3877761602063,2.32757908494467,1.08810819684879,10.6475994472525
"Tspan15",126.375406109427,219.413696894773,263.370855266786,194.055128741632,207.058763700903,189.585619497126,208.778076357409,197.348864453996,250.674436136165,287.114068349631,189.828204736401,190.861484965463,177.361636086353,228.923388115929
"Tacr2",11.8107856177034,1.85159237885884,6.8705440504379,0,5.21996883279586,6.39052649990313,3.02576922257114,7.56125917448262,12.4448301627883,4.77197897534012,4.77555232041259,9.3103163397787,2.17621639369758,12.4221993551279
"Hk1",445.266617787419,398.092361454651,352.687927922479,449.267025329112,445.43734039858,375.975975744301,378.221152821393,390.160973403303,430.235557056397,436.636076243621,409.50361147538,404.998760780373,441.771927920609,340.72318231208
"Hkdc1",59.0539280885172,37.0318475771768,36.6429016023355,16.4652836508052,46.9797194951628,69.2307037489506,21.180384557998,57.4655697260679,48.001487770755,47.7197897534012,39.3983066434039,37.2412653591148,38.0837868897076,53.2379972362625
"Supv3l1",10.6297070559331,9.2579618942942,14.8861787759488,4.7043667573729,12.1799272765237,4.26035099993542,6.05153844514228,13.6102665140687,9.77808084219084,15.1112667552437,7.16332848061889,2.32757908494467,10.8810819684879,10.6475994472525
"Vps26a",15.3540213030145,8.33216570486478,20.6116321513137,11.7609168934323,10.4399376655917,24.4970182496287,10.590192278999,17.39089610131,21.33399456478,18.2925860721371,14.3266569612378,6.98273725483402,15.2335147558831,8.87299953937709
"Srgn",9.44862849416275,8.33216570486478,8.01563472551088,2.35218337868645,10.4399376655917,11.7159652498224,6.05153844514228,13.6102665140687,8.00024796179251,9.54395795068025,1.19388808010315,12.8016849671957,4.35243278739516,3.54919981575083
"Kifbp",2634.98627130964,2490.39174956514,2995.55720599092,2562.70379107889,2923.18254636568,2932.18657570555,2611.2388390789,2704.66240671243,2572.52417793639,2577.66397651289,2805.6369882424,2632.49194507243,2745.2969806495,2557.19846724848
"Ddx50",223.223848174595,224.04267784192,190.085052062115,296.375105714493,220.978680588358,224.733515246593,220.881153247693,345.549544273856,301.342673227518,303.020664934098,261.461489542589,226.938960782106,242.64812789728,299.907384430946
"Stox1",3.54323568531103,4.6289809471471,11.4509067507298,4.7043667573729,10.4399376655917,9.58578974985469,3.02576922257114,11.3418887617239,1.77783288039833,8.74862812145689,4.77555232041259,9.3103163397787,7.61675737794153,3.54919981575083
"Ccar1",5.90539280885172,10.1837580837236,3.43527202521895,8.23264182540258,13.9199168874556,11.7159652498224,3.02576922257114,12.0980146791722,10.66699728239,9.54395795068025,3.58166424030944,9.3103163397787,9.7929737716391,3.54919981575083
"Slc25a16",17.7161784265551,19.4417199780178,22.9018135014597,14.1131002721187,23.4898597475814,21.3017549996771,24.2061537805691,29.4889107804822,18.6672452441825,24.655224705924,14.3266569612378,9.3103163397787,27.2027049212197,17.7459990787542
"Dna2",166.532077209618,159.23694458186,168.328329235728,164.652836508052,141.809153290954,168.283864497449,169.443076463984,160.298694499032,167.116290757443,177.358551916808,171.919883534853,137.327166011736,142.542173787191,149.066392261535
"Rufy2",516.13133149364,548.997140331646,571.400246861419,570.404469331464,577.676550829409,530.41369949196,623.308459849655,613.974244967989,626.686090340413,621.947926452663,469.198015480537,484.136449668492,447.212468904852,603.363968677642
"Pbld2",950.768242225126,1222.05097004683,764.920570948753,1118.46319656541,937.854400292323,1154.5551209825,942.527112830911,1289.95081516673,1168.03620242171,1285.25300402494,921.68159783963,1042.75543005521,1021.73359684101,974.255349423604
"Atoh7",20.0783355500958,33.3286628194591,25.1919948516056,17.6413753401484,36.539781829571,30.8875447495318,31.770576836997,28.732784863034,32.00099184717,35.7898423150509,28.6533139224756,25.6033699343914,40.2600032834052,26.6189986181313
"Mypn",145.272663097752,56.4735675551946,92.7523446809116,139.954911031844,95.6994286012575,89.4673709986438,104.389038178704,145.932302067515,119.114802986688,136.796730626417,106.25603912918,131.508218299374,109.898927881728,134.869592998532
"Dnajc12",86.2187350092351,53.6961789869064,69.850531179452,70.5655013605935,51.3296935224926,67.1005282489829,69.5926921191363,53.6849401388266,67.5576494551367,62.0357266794216,74.0210609663952,77.9738993456466,53.3173016455907,88.7299953937709
"Ctnna3",29.5269640442586,42.5866247137533,27.4821762017516,58.8045844671612,33.9297974131731,21.3017549996771,37.8221152821393,31.0011626153787,24.8896603255767,36.5851721442743,7.16332848061889,26.7671594768638,31.5551377086149,28.3935985260067
"Lrrtm3",1610.99115825475,998.008292204915,1745.11818881123,1854.69659409427,1740.85960573742,1888.40058072137,1320.7482656523,1760.26113581955,1501.37986749639,1649.51406580924,1425.50236764316,1748.01189279345,1944.44934776879,1701.84131165253
"Reep3",11.8107856177034,5.55477713657652,16.0312694510218,5.88045844671613,10.4399376655917,10.6508774998385,12.1030768902846,12.0980146791722,13.3337466029875,0,7.16332848061889,10.474105882251,15.2335147558831,14.1967992630033
"Nrbf2",34.25127829134,58.3251599340535,24.0469041765326,15.2891919614619,41.7597506623669,44.7336854993219,34.7963460595681,24.9521552757926,30.2231589667717,33.4038528273809,39.3983066434039,48.8791607838382,39.1718950865564,39.0411979732592
"Egr2",127.556484671197,69.4347142072065,59.5447151037951,117.609168934322,123.539262376169,112.899301498289,128.595191959274,74.1003399099297,61.3352343737426,51.696438899518,108.643815289386,104.74105882251,159.951904936772,44.3649976968854
"Ado",679.120173017947,643.428351653447,712.246399895395,728.000755703456,732.535626202353,631.597035740426,632.385767517369,627.584511482057,677.354327431766,646.603151158587,702.006191100651,766.93730848927,709.446544345411,610.462368309144
"Zfp365",35246.9275189124,28609.8796419374,35114.205551113,37927.7808896297,39244.5956797648,36003.1612127042,35197.2604815588,35985.5446631977,32353.0027574889,32546.4872714781,31489.9920008006,34891.5742728631,39006.5026406354,33280.8466722956
"Arid5b",2.36215712354069,16.6643314097296,5.72545337536491,10.584825204089,16.5299013038536,6.39052649990313,19.6674999467124,12.0980146791722,8.88916440199167,13.520607096797,1.19388808010315,5.81894771236169,16.3216229527318,17.7459990787542
"Cabcoco1",21.2594141118662,59.2509561234829,44.6585363278463,10.584825204089,27.8398337749113,31.9526324995156,36.3092306708537,31.0011626153787,48.8904042109542,23.8598948767006,29.8472020025787,26.7671594768638,26.1145967243709,51.4633973283871
"Rhobtb1",10.6297070559331,9.2579618942942,18.3214508011677,5.88045844671613,10.4399376655917,15.9763162497578,1.51288461128557,26.4644071106892,8.88916440199167,17.4972562429138,4.77555232041259,5.81894771236169,5.44054098424395,10.6475994472525
"A930033H14Rik",141.729427412441,146.275797929848,129.395246283247,168.181111576081,153.119085762012,152.307548247691,116.492115068989,213.22750872041,185.783536001626,170.200583453798,138.491017291965,195.516643135353,134.92541640925,177.459990787542
"Ank3",22.4404926736365,61.1025485023417,22.9018135014597,41.1632091270129,31.3198129967752,35.1478957494672,52.950961394995,25.7082811932409,56.8906521727467,46.1291300949545,10.7449927209283,46.5515816988935,21.7621639369758,37.2665980653838
"Ccdc6",90.9430492563164,139.795224603842,93.8974353559846,127.017902449068,126.149246792567,109.704038248337,98.3374997335621,153.493561241997,171.560872958439,152.703327210884,119.388808010315,151.292640521404,124.044334440762,108.2505943804
"Mrln",5.90539280885172,8.33216570486478,9.16072540058386,0,0.869994805465977,1.06508774998385,3.02576922257114,2.26837775234479,0,3.18131931689342,0,2.32757908494467,0,1.77459990787542
